Transaction Description,Type,Category,Amount ($)
Purchase at uber trip,Expense,Transportation,326.46
lyft rid - order #5357,Expense,Transportation,433.57
parking garage8 - order #8331,Expense,Transportation,806.1
Bank cre2dit from online sale,Income,Business Revenue,4322.35
Received invetment return,Income,Interest/Dividends,156.22
fiverr payment credited to account,Income,Freelance,9626.64
Bank credit from house rent,Income,Rent Income,4592.0
macys transaction,Expense,Shopping,269.03
Purchase at indigo,Expense,Travel,433.67
fd interest credited to account,Income,Interest/Dividends,6300.04
Income via contra4ct project payment,Income,Freelance,5630.86
booking.com - order #2440,Expense,Travel,684.91
Credited from company payroll,Income,Salary,493.15
Bank credit from salary from google,Income,Salary,5931.75
walgreens - order #5701,Expense,Health & Medical,685.69
verizon transaction,Expense,Utilities,719.25
airbnb transaction,Expense,Travel,61.74
office lease income credited to account,Income,Rent Income,8315.7
mcdonald monthly bill,Expense,Restaurants,996.79
Credited from corporate payment,Income,Salary,8179.29
amazon refund deosit received,Income,Refunds,5683.17
PuRChAse at chevrOn,Expense,Transportation,167.83
Purchase at meijer,Expense,Groceries,8.37
Credited from property lase payment,Income,Rent Income,7445.0
Bank credit from festival bonus,Income,Gift/Bonus,6185.45
Payment to makemytrip,Expense,Travel,280.51
Payment received: holiday reward,Income,Gift/Bonus,5031.21
Income via mutual fund prfit,Income,Investments,1351.38
fd interest credited to account,Income,Interest/Dividends,7510.4
Received store deposit,Income,Business Revenue,7725.16
monthly salary credited to account,Income,Salary,4480.18
ReceiVed hoUSe rent,Income,Rent Income,4653.66
aldi charge,Expense,Groceries,486.24
Income via store return refund,Income,Refunds,3715.51
electric co-op charge,Expense,Utilities,933.14
Purchase at mcdonald,Expense,Restaurants,716.68
Purchase at youtube1 premium,Expense,Subscriptions,892.99
Receied corporate payment,Income,Salary,5606.86
grubhub - order #7596,Expense,Restaurants,288.24
Paid walmart via card,Expense,Shopping,509.85
Income via house rent,Income,Rent Income,2290.66
REceiVed bANK inTerEST,Income,Interest/Dividends,1896.62
Bank credit from freelance gig,Income,Freelance,640.61
lyft ride monthly bill,Expense,Transportation,382.25
company payroll credited to account,Income,Salary,4539.45
meijer monthly bill,Expense,Groceries,994.72
booking.com monthly bill,Expense,Travel,614.56
house rent deposit received,Income,Rent Income,7634.23
disney plus - order #6977,Expense,Subscriptions,443.76
apple music monthly bill,Expense,Subscriptions,136.05
ikea charge,Expense,Shopping,647.21
lyft ride transaction,Expense,Transportation,830.06
Credited from tenant payment,Income,Rent Income,2649.63
PURchasE at SHELL oil,Expense,Transportation,217.41
IncomE 3vIa bANk refUnd,Income,Refunds,2243.43
Payment received: crypto gain,Income,Investments,2285.36
walgreens charge,Expense,Health & Medical,273.32
fd interest deposit received,Income,Interest/Dividends,6376.37
holiday reward credited to account,Income,Gift/Bonus,4844.55
PAymEnt recEiVed: Fd IntereST,Income,Interest/Dividends,8296.54
Payment to pge bill,Expense,Utilities,263.84
crypto gain credited to account,Income,Investments,7355.03
Received nse return,Income,Investments,6248.96
Bank credit from contract project payment,Income,Freelance,1591.77
best buy - order #3168,Expense,Shopping,311.57
Bank credit from holiday reward,Income,Gift/Bonus,5715.3
investment return c@redited to account,Income,Interest/Dividends,3100.22
walmart charge,Expense,Shopping,486.6
cash prize deposit received,Income,Gift/Bonus,6887.84
youtube premium transaction,Expense,Subscriptions,253.05
Prchase at hospit9al,Expense,Health & Medical,941.23
airbnb transaction,Expense,Travel,490.88
storE deposit CreDite9d to accOUnt,Income,Business Revenue,5549.64
Payment to kfc,Expense,Restaurants,175.72
tripadvisor monthly bill,Expense,Travel,138.76
performance bonus credited to account,Income,Gift/Bonus,3090.73
ho4use rent deposit received,Income,Rent Income,4454.65
PAymeNT to TripaDVisor,Expense,Travel,42.47
Paid macys via card,Expense,Shopping,894.32
bank refund8 deposit received,Income,Refunds,3310.83
Bank credit from corporate payment,Income,Salary,4348.87
Income via mutual fund profit,Income,Investments,180.86
oyo rooms charge,Expense,Travel,271.35
Purchase at grubhub,Expense,Restaurants,209.66
Paid comcast via card,Expense,Utilities,991.49
Payment received: store deposit,Income,Business Revenue,8548.69
Payment received: store return refund,Income,Refunds,6885.35
domino's pizza transaction,Expense,Restaurants,610.49
spotify transaction,Expense,Subscriptions,67.81
chevron transaction,Expense,Transportation,801.64
pg&e bill charge,Expense,Utilities,469.73
ikea monthly bill,Expense,Shopping,293.92
Income via office paycheck,Income,Salary,4611.48
Payment received: contract project payment,Income,Freelance,6150.25
netflix charge,Expense,Subscriptions,932.91
Paid safeway via card,Expense,Groceries,855.29
frEeLAnCE gig cReDIted to acCOuNt,Income,Freelance,3784.49
Purchase at walgreens,Expense,Health & Medical,865.07
urgent care - order #4891,Expense,Health & Medical,462.32
Paid shell oil via card,Expense,Transportation,441.51
CreDiTed from holIday reWaRd,Income,Gift/Bonus,6707.92
Purchase T bp gas,Expense,Transportation,883.97
Purchase at hospital,Expense,Health & Medical,217.49
netflix charge,Expense,Subscriptions,886.74
safeway transaction,Expense,Groceries,860.84
dividend credit deposit received,Income,Interest/Dividends,8975.12
Received share sale profit,Income,Investments,7149.18
IncoME via nse rEturN,Income,Investments,7467.41
Received property lease payment,Income,Rent Income,7245.76
PaYmENT RecEiVed: bank interest,Income,Interest/Dividends,5321.9
Paid walmart via card,Expense,Shopping,902.92
Received monthly salary,Income,Salary,3410.28
electric co-op - order #3697,Expense,Utilities,532.21
BANk CREDit fROM teNAnT Payment,Income,Rent Income,4967.17
ofFicE paYcheck crEdited to account,Income,Salary,6879.24
stock dividend deposit received,Income,Investments,1122.18
myntra monthly bill,Expense,Shopping,882.04
ubEr trip TransacTiOn,Expense,Transportation,685.4
AmazOn pRime - ORDer #7502,Expense,Subscriptions,750.17
Bank credit from fd interest,Income,Interest/Dividends,8672.49
Income via contract project payment,Income,Freelance,3362.16
Paid indigO viA CArD,Expense,Travel,580.14
Payment to netflix,Expense,Subscriptions,975.65
Income via upwork payout,Income,Freelance,5352.38
netflix charge,Expense,Subscriptions,921.87
InCOmE vIa STOck dividend,Income,Investments,7362.82
mcdonald monthly bill,Expense,Restaurants,464.35
Bank credit from contract project payment,Income,Freelance,8767.78
Payment received: corporate payment,Income,Salary,5014.48
makemytrip - order #6498,Expense,Travel,748.49
amazOn.com - order #9854,Expense,Shopping,593.98
Received tenant payment,Income,Rent Income,3122.41
Purchase at cvs pharmacy,Expense,Health & Medical,41.95
Bank credit from bank refund,Income,Refunds,7634.53
Payment to oyo rooms,Expense,Travel,575.68
walgreens monthly bill,Expense,Health & Medical,784.8
sPOtifY ChARge,Expense,Subscriptions,204.38
Payment received: b2b invoice payment,Income,Business Revenue,790.36
Paid makemytrip via card,Expense,Travel,624.23
Payment received: house rent,Income,Rent Income,8819.71
performance bonus deposit received,Income,Gift/Bonus,5811.61
Income via 9baNK REFund,Income,Refunds,3593.74
lyft ride - order #8067,Expense,Transportation,390.56
festival bonus credited to account,Income,Gift/Bonus,3801.63
youtube premium - order #8122,Expense,Subscriptions,773.47
store return refund credited to account,Income,Refunds,9777.2
Payment receivd: monthly salary,Income,Salary,8718.96
VerizoN monThly bill,Expense,Utilities,807.62
Bank credit from bank refund,Income,Refunds,4993.25
share sale profit deposit received,Income,Investments,154.55
BAnk crediT froM House rEnt,Income,Rent Income,541.42
target charge,Expense,Shopping,788.57
ContrACt proJeCt payment dePOsit ReCeiVeD,Income,Freelance,7794.19
Purchase at oyo rooms,Expense,Travel,33.6
freelance gig credited to accoun5t,Income,Freelance,8218.77
starbucks transaction,Expense,Restaurants,379.96
walmart grocery - order #8029,Expense,Groceries,673.97
Payment received: share sale profit,Income,Investments,485.39
Credited from house rent,Income,Rent Income,2525.13
amazon reund credited to account,Income,Refunds,4348.35
PAyment ReceiveD: B2b inVOiCe paYmeNt,Income,Business Revenue,8618.31
Purchase at bp gas,Expense,Transportation,983.41
chevron charge,Expense,Transportation,962.18
Payment to apple music,Expense,Subscriptions,933.39
spectrum transaction,Expense,Utilities,191.18
property lease payment credited to account,Income,Rent Income,2919.22
BANk crEDit froM proPERtY leAse 2Payment,Income,Rent Income,9239.27
walgreens - order #1792,Expense,Health & Medical,779.59
